contest_id|awards|prize_usd|hardware_awards|winners|winner_likes|winner_downloads|first_prize_title|first_prize_creator|first_prize_likes|avg_likes_listed
144|18|1260|0|18|31527|21514|The Beer Buoy - Floating Gyro Cup|Sulena 3D Design|8595|418
145|21|1540|0|19|46206|37065|Birthday Cake Set with LED Candles|3DPmom|2352|1478
146|8|700|0|8|1030|485|Moku - Modular Desk Organizer|Nam Bao|105|49
147|6|0|2|6|4444|2513|Exploding Tower with Light-Up Dice|MaKim|496|603
149|15|1080|0|17|12405|4443|Auto Pet-Feeder Module|3DMakerSpace|3475|210
150|10|880|3|11|4605|2093|Kit Card - Dragon BONBON|berri3D|561|272
151|9|0|0|9|490|202|T-34 Catapult Tank|YR|67|33
152|11|0|1|11|20199|10764|RoboPrinter: P2S Transforming Robot|6D Creation|4165|1026
153|16|3147|3|16|2532|502|Rolluna|JJ|162|106
154|15|1080|0|16|13104|5735|Odyssey: The Shifting Seas|Simon|1286|240
155|6|330|0|6|2340|423|Dogfight Tactics Board Game|yodovicz|582|63
156|10|850|0|11|4879|1951|Foldable can/bottle holder|Fleim3D|659|135
157|7|9197|3|0|0|0||||5
158|16|1110|0|16|7840|912|BOTTLESHIP - Ultimate beverage battl|Core Designs|1018|318
159|16|1110|0|16|1944|791|WolfBox Bug Vac Adaptor|Felt3D|192|42
160|19|1764|0|0|0|0||||41
161|4|0|2|0|0|0||||27
162|7|180|5|0|0|0||||16
163|9|180|7|0|0|0||||65
164|618|0|24|0|0|0||||66
165|10|300|10|0|0|0||||63
166|27|1560|0|0|0|0||||264
